essp0057;Movimento do Estoque de Acabados;Movimento do Estoque de Acabados;M25
essp0003;Produtos do Beneficiamento;Produtos do Beneficiamento;M25
essp0014;Defeitos de Fabrica‡Æo;Defeitos de Fabrica‡Æo;M25
essp0033;M quinas do Beneficiamento;M quinas do Beneficiamento;M25
essp0012;Produtos do Beneficiamento;Produtos do Beneficiamento;M25
essp0075;Curva ABC Defeitos por Fam¡lia;Curva ABC Defeitos por Fam¡lia;M25
essp0072;Defeitos por Fam¡lia/Tipo Defeito;Defeitos por Fam¡lia/Tip Defeito;M25
essp0073;Defeitos por Tipo Defeito;Defeitos por Tipo Defeito;M25
essp0074;Defeitos Por Tipo Defeito/Lote;Defeitos Por Tipo Defeito/Lote;M25
essp0078;Produ‡Æo por Fam¡lia/Nuance;Produ‡Æo por Fam¡lia/Nuance;M25
essp0076;Produ‡Æo Tecido Estampado por Fam¡lia;Produ‡Æo Tecido Estampado p/Fam;M25
essp0077;Produ‡Æo Tecido Liso por Fam¡lia;Produ‡Æo Tecido Liso por Fam¡lia;M25
essp0071;Produ‡Æo/Defeitos por Fam¡lia;Produ‡Æo/Defeitos por Fam¡lia;M25
